estado,pob15,analf,analf_pct,sin_prim,sin_prim_pct,sin_sec,sin_sec_pct,rezago,rezago_pct,label,share_analf
Aguascalientes,1166245,18285,1.6,63260,5.4,157427,13.5,238972,20.5,Aguascalientes,7.651524027919589
Baja California,3278272,51001,1.6,174104,5.3,471550,14.4,696655,21.3,Baja California,7.3208403011533685
Baja California Sur,704817,13904,2.0,38262,5.4,90633,12.9,142799,20.3,Baja California Sur,9.736762862485032
Campeche,733293,36261,4.9,59813,8.2,96540,13.2,192614,26.299999999999997,Campeche,18.825734370294995
Coahuila de Zaragoza,2577081,30572,1.2,73616,2.9,351294,13.6,455482,17.7,Coahuila,6.7120105734145366
Colima,607474,17542,2.9,48354,8.0,89259,14.7,155155,25.6,Colima,11.306113241597112
Chiapas,4186994,379104,9.1,576441,13.8,919912,22.0,1875457,44.9,Chiapas,20.21395318581018
Chihuahua,3141642,70420,2.2,189207,6.0,516642,16.4,776269,24.599999999999998,Chihuahua,9.071597603408096
Ciudad de México,7719393,99105,1.3,342200,4.4,841708,10.9,1283013,16.6,Mexico City,7.7243956218682115
Durango,1442558,28159,2.0,84437,5.9,227734,15.8,340330,23.700000000000003,Durango,8.274028149149355
Guanajuato,4928907,223840,4.5,362486,7.4,790217,16.0,1376543,27.9,Guanajuato,16.261024900784065
Guerrero,2609778,266674,10.2,262701,10.1,495436,19.0,1024811,39.3,Guerrero,26.021773770968498
Hidalgo,2559097,135157,5.3,160532,6.3,355093,13.9,650782,25.5,Hidalgo,20.768398634258478
Jalisco,6814186,172500,2.5,524673,7.7,1149282,16.9,1846455,27.099999999999998,Jalisco,9.342226049375697
México,13830395,344114,2.5,853300,6.2,2051902,14.8,3249316,23.5,Estado de México,10.590351938684941
Michoacán de Ocampo,3721992,213636,5.7,471087,12.7,805175,21.6,1489898,40.0,Michoacán,14.338968170975463
Morelos,1608959,60724,3.8,116572,7.2,229952,14.3,407248,25.3,Morelos,14.910816013829411
Nayarit,1006554,36697,3.6,80712,8.0,136270,13.5,253679,25.1,Nayarit,14.465919528222676
Nuevo León,4952823,63681,1.3,202508,4.1,586068,11.8,852257,17.2,Nuevo León,7.472041884079568
Oaxaca,3208275,302374,9.4,262060,8.2,632757,19.7,1197191,37.3,Oaxaca,25.256955657033842
Puebla,5243976,299239,5.7,461850,8.8,989240,18.9,1750329,33.4,Puebla,17.096157350989444
Querétaro,2062468,57650,2.8,91896,4.5,261987,12.7,411533,20.0,Querétaro,14.00859712343846
Quintana Roo,1617752,42311,2.6,94234,5.8,186754,11.5,323299,19.9,Quintana Roo,13.087265967417158
San Luis Potosí,2262874,75651,3.3,142227,6.3,311849,13.8,529727,23.4,San Luis Potosí,14.28112971398475
Sinaloa,2469357,71698,2.9,196823,8.0,348823,14.1,617344,25.0,Sinaloa,11.61394619531412
Sonora,2453178,32641,1.3,123895,5.1,309010,12.6,465546,19.0,Sonora,7.011337225537326
Tabasco,1859438,71357,3.8,147826,8.0,240670,12.9,459853,24.700000000000003,Tabasco,15.517350109708971
Tamaulipas,2917868,64613,2.2,192741,6.6,433560,14.9,690914,23.700000000000003,Tamaulipas,9.351815131839853
Tlaxcala,1088387,30064,2.8,51582,4.7,165487,15.2,247133,22.7,Tlaxcala,12.165109475464627
Veracruz de Ignacio de la Llave,6326637,461764,7.3,745718,11.8,1114914,17.6,2322396,36.7,Veracruz,19.8830862609133
Yucatán,1973596,101291,5.1,180662,9.2,275522,14.0,557475,28.299999999999997,Yucatán,18.169604018117404
Zacatecas,1255505,36065,2.9,105762,8.4,211496,16.8,353323,28.1,Zacatecas,10.207373989239308
